Employee_ID,Age,Gender,Department,Job_Role,Education_Level,Marital_Status,Years_at_Company,Monthly_Salary,Overtime,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Promotion_Last_3_Years,Remote_Work,Attrition
100027,24,Male,Finance,Auditor,Bachelor's,Single,13,76160.29,No,Excellent,Very High,Meets Expectations,7,No,Hybrid,No
100028,35,Male,HR,Recruiter,Bachelor's,Single,6,46830.64,No,Good,Medium,Outstanding,30,No,Yes,No
100029,28,Female,IT,Data Analyst,Bachelor's,Married,9,66102.35,No,Fair,Medium,Meets Expectations,20,No,Hybrid,No
100030,30,Male,HR,Recruiter,Bachelor's,Single,3,45078.37,Yes,Fair,Medium,Meets Expectations,24,No,Yes,No
100031,28,Male,Sales,Account Executive,Bachelor's,Single,4,52775.12,No,Good,Very High,Meets Expectations,17,No,Hybrid,No
100032,45,Female,HR,Recruiter,Bachelor's,Single,7,39582.28,Yes,Fair,High,Meets Expectations,11,Yes,Hybrid,No
100033,32,Female,IT,Software Engineer,Bachelor's,Single,5,69938.13,No,Good,High,Meets Expectations,11,No,Yes,No
100034,25,Female,Finance,Accountant,Bachelor's,Married,4,51641.85,Yes,Good,High,Meets Expectations,34,No,Hybrid,No
100035,38,Male,Finance,Auditor,Master's,Single,17,94249.84,No,Poor,Very High,Meets Expectations,28,No,Hybrid,No
100036,24,Male,Marketing,Digital Marketing Analyst,Bachelor's,Single,2,41853.15,No,Excellent,Very High,Meets Expectations,13,No,No,No
100037,34,Female,Operations,Supply Chain Analyst,Bachelor's,Married,16,69440.87,No,Excellent,Low,Meets Expectations,12,No,Yes,No
100038,21,Male,Sales,Sales Manager,Bachelor's,Single,7,46809.27,No,Excellent,Very High,Meets Expectations,18,Yes,Hybrid,No
100039,23,Female,Sales,Sales Executive,PhD,Married,5,62068.53,No,Good,High,Meets Expectations,19,No,Hybrid,No
100040,34,Male,Sales,Sales Executive,Master's,Married,4,45804.49,Yes,Poor,High,Meets Expectations,1,No,Hybrid,Yes
100041,38,Female,IT,QA Engineer,Bachelor's,Single,3,52658.47,No,Excellent,Medium,Meets Expectations,11,No,Hybrid,No
100042,34,Female,IT,Software Engineer,Bachelor's,Single,3,77065.55,No,Good,Very High,Meets Expectations,43,No,Hybrid,No
100043,32,Female,IT,Software Engineer,Master's,Married,11,108800.4,No,Good,Medium,Meets Expectations,9,No,Hybrid,No
100044,30,Female,Sales,Sales Manager,Bachelor's,Divorced,15,74457.18,No,Excellent,Very High,Meets Expectations,35,No,Yes,No
100045,22,Male,HR,HR Executive,Bachelor's,Married,4,32748.72,No,Good,Medium,Meets Expectations,16,Yes,Hybrid,No
100046,27,Female,HR,Recruiter,Bachelor's,Single,4,47780.34,No,Good,Low,Meets Expectations,6,No,Hybrid,Yes
100047,29,Female,IT,QA Engineer,Bachelor's,Single,10,98825.57,No,Fair,High,Outstanding,36,No,Hybrid,No
100048,40,Female,IT,System Administrator,Bachelor's,Married,3,65615.65,Yes,Fair,Very High,Meets Expectations,35,No,Yes,No
100049,35,Female,IT,QA Engineer,Bachelor's,Single,1,60597.68,No,Good,Very High,Meets Expectations,17,No,Hybrid,No
100050,21,Male,IT,Software Engineer,Bachelor's,Single,2,46908.49,No,Fair,Very High,Meets Expectations,12,No,No,No
100051,35,Male,IT,DevOps Engineer,Bachelor's,Married,3,46276.54,No,Excellent,Medium,Meets Expectations,12,No,Hybrid,No
100052,30,Female,Sales,Account Executive,Bachelor's,Single,4,59423.72,No,Fair,High,Meets Expectations,59,No,Yes,No
100053,28,Female,Sales,Sales Executive,Bachelor's,Married,3,41283.77,Yes,Poor,Low,Meets Expectations,39,No,Hybrid,Yes
100054,37,Female,Sales,Sales Manager,Bachelor's,Married,5,45105.73,No,Good,Medium,Exceeds Expectations,11,No,Yes,No
100055,40,Male,Sales,Sales Executive,Bachelor's,Single,3,51288.49,No,Excellent,High,Meets Expectations,14,No,Hybrid,No
100056,39,Male,IT,System Administrator,Bachelor's,Married,7,90941.06,No,Good,Medium,Meets Expectations,59,No,No,No
100057,27,Male,Finance,Financial Analyst,Bachelor's,Married,10,76746.4,Yes,Poor,High,Meets Expectations,47,No,Hybrid,Yes
100058,30,Male,Operations,Logistics Coordinator,Bachelor's,Single,2,33201.74,Yes,Fair,High,Outstanding,50,Yes,Yes,No
100059,35,Male,IT,System Administrator,Bachelor's,Single,4,76270.85,No,Good,High,Meets Expectations,36,No,Hybrid,No
100060,39,Male,IT,QA Engineer,Bachelor's,Single,3,53905.83,No,Excellent,High,Exceeds Expectations,2,No,Yes,No
100061,29,Female,IT,System Administrator,Bachelor's,Divorced,8,65102.8,Yes,Poor,Medium,Meets Expectations,59,No,Hybrid,Yes
100062,31,Female,IT,Data Analyst,Bachelor's,Single,2,59560.02,No,Excellent,Medium,Outstanding,9,No,Hybrid,No
100063,25,Female,Sales,Account Executive,Bachelor's,Single,8,47214.36,Yes,Poor,Low,Meets Expectations,22,No,Hybrid,Yes
100064,24,Female,IT,Software Engineer,Bachelor's,Single,4,50362.47,No,Excellent,High,Outstanding,3,No,Hybrid,No
100065,38,Male,Sales,Sales Executive,Bachelor's,Single,14,75795.33,No,Excellent,High,Needs Improvement,43,No,Yes,No
100066,42,Female,IT,Data Analyst,Master's,Single,8,95086.17,No,Good,Medium,Meets Expectations,24,No,Hybrid,No
100067,32,Female,Finance,Financial Analyst,Master's,Single,11,81377.65,No,Poor,Medium,Meets Expectations,0,No,Yes,Yes
100068,40,Female,IT,Software Engineer,Master's,Single,11,110093.34,Yes,Fair,Medium,Meets Expectations,60,Yes,Yes,No
100069,35,Female,Sales,Sales Executive,Bachelor's,Single,3,56166.35,Yes,Fair,Medium,Exceeds Expectations,4,Yes,Hybrid,No
100070,28,Female,IT,Software Engineer,Bachelor's,Married,6,60675.02,No,Excellent,Medium,Meets Expectations,4,No,Yes,No
100071,35,Male,IT,DevOps Engineer,Master's,Married,10,89983.67,No,Excellent,Very High,Meets Expectations,46,Yes,Hybrid,No
100072,43,Male,Operations,Supply Chain Analyst,Bachelor's,Single,7,54910.56,No,Excellent,High,Needs Improvement,26,No,Yes,No
100073,32,Male,Finance,Financial Analyst,Bachelor's,Married,0,53866.87,No,Fair,High,Meets Expectations,60,No,Yes,No
100074,43,Female,IT,QA Engineer,Bachelor's,Single,2,73750.66,No,Good,Low,Meets Expectations,6,Yes,Hybrid,No
100075,21,Female,Finance,Accountant,Master's,Single,3,59750.33,No,Good,Very High,Meets Expectations,48,No,Hybrid,No
100076,38,Female,Finance,Financial Analyst,Bachelor's,Single,1,58851.04,No,Excellent,High,Outstanding,60,No,Yes,No
100077,33,Male,Sales,Sales Manager,Bachelor's,Single,14,76024.84,No,Good,High,Meets Expectations,23,No,Hybrid,No
100078,30,Female,Sales,Sales Executive,Bachelor's,Single,14,65330.23,No,Excellent,High,Meets Expectations,22,No,Hybrid,No
100079,33,Female,HR,HR Manager,Bachelor's,Single,2,41381.85,No,Good,Medium,Meets Expectations,7,No,Hybrid,No
100080,21,Male,IT,QA Engineer,Master's,Single,5,68330.64,No,Excellent,Medium,Meets Expectations,29,No,Hybrid,No
100081,31,Female,Sales,Account Executive,Bachelor's,single,2,37555.48,No,Fair,Medium,Meets Expectations,30,No,Hybrid,Yes
100082,35,Female,IT,Software Engineer,Bachelor's,Single,7,89552.72,Yes,Fair,High,Outstanding,15,No,Hybrid,Yes
100083,43,Female,Operations,Logistics Coordinator,Bachelor's,Divorced,3,37498.42,No,Good,High,Meets Expectations,27,No,Hybrid,No
100084,29,Female,HR,HR Manager,Master's,Single,4,53657.52,No,Good,Very High,Meets Expectations,0,Yes,Yes,No
100085,27,Female,Operations,Operations Executive,Master's,Married,15,60009.08,Yes,Fair,Low,Meets Expectations,10,No,Yes,Yes
100086,29,Female,Operations,Logistics Coordinator,Master's,Single,6,59768.26,No,Excellent,Medium,Meets Expectations,50,Yes,Hybrid,No
100087,39,Male,Marketing,SEO Specialist,Master's,Single,10,64179.96,No,Fair,Very High,Meets Expectations,37,No,Hybrid,No
100088,35,Male,Finance,Accountant,Bachelor's,Divorced,8,49316.41,No,Excellent,Very High,Meets Expectations,22,No,No,No
100089,29,Female,Operations,Operations Executive,Master's,Married,6,40602.03,Yes,Poor,High,Exceeds Expectations,31,No,Yes,Yes
100090,36,Male,Marketing,Digital Marketing Analyst,Bachelor's,Single,2,34694.66,No,Good,High,Exceeds Expectations,31,No,Hybrid,Yes
100091,33,Female,IT,DevOps Engineer,Master's,Single,0,61075.68,No,Good,Medium,Meets Expectations,28,No,Yes,No
100092,39,Female,Finance,Financial Analyst,Bachelor's,Single,4,58406.14,Yes,Fair,Medium,Exceeds Expectations,30,No,Hybrid,No
100093,28,Female,Finance,Auditor,Bachelor's,Married,3,50403.29,Yes,Fair,Low,Meets Expectations,58,Yes,Yes,Yes
100094,30,Male,HR,HR Manager,Bachelor's,Single,1,34393.69,No,Good,Medium,Meets Expectations,18,No,Hybrid,No
100095,30,Female,HR,HR Manager,Bachelor's,Married,5,35250.01,No,Fair,Medium,Meets Expectations,8,No,Hybrid,No
100096,22,Male,Operations,Operations Executive,Bachelor's,Married,3,49012.08,No,Good,High,Outstanding,31,No,Yes,No
100097,35,Male,HR,HR Manager,Bachelor's,Single,14,61967.32,No,Excellent,Medium,Exceeds Expectations,30,No,Yes,No
100098,34,Female,Sales,Sales Manager,Bachelor's,Married,5,52185.08,No,Good,Medium,Exceeds Expectations,4,No,Hybrid,No
100099,33,Male,IT,Software Engineer,PhD,Married,0,79594.72,No,Excellent,High,Meets Expectations,22,No,Hybrid,No
100100,31,Male,IT,Data Analyst,Master's,Single,7,91521.61,No,Excellent,High,Needs Improvement,45,No,Hybrid,No
100101,23,Female,Sales,Sales Executive,Master's,Single,7,59179.02,No,Good,Low,Meets Expectations,54,No,No,Yes
100102,30,Female,Sales,Sales Manager,Master's,Married,11,60010.37,Yes,Poor,Medium,Exceeds Expectations,20,No,Yes,Yes
100103,30,Male,Sales,Sales Manager,Bachelor's,Single,5,62846.51,No,Fair,Medium,Meets Expectations,19,No,Hybrid,No
100104,27,Male,Sales,Sales Manager,Bachelor's,Married,8,54753.22,No,Good,Medium,Meets Expectations,12,Yes,Hybrid,No
100105,31,Female,HR,HR Executive,Bachelor's,Single,5,45393.27,No,Good,Low,Meets Expectations,44,No,Yes,Yes
100106,35,Female,Sales,Sales Executive,Master's,Single,3,48995.13,No,Fair,Very High,Meets Expectations,56,No,Hybrid,No
100107,46,Female,Operations,Logistics Coordinator,Master's,Divorced,9,63623.12,No,Fair,Medium,Exceeds Expectations,19,No,No,No
100108,34,Female,HR,HR Manager,Master's,Single,2,48199.2,No,Good,Very High,Meets Expectations,59,No,Yes,No
100109,34,Female,Sales,Sales Manager,Master's,Single,8,74615.78,No,Good,Very High,Meets Expectations,46,No,Hybrid,No
100110,32,Male,Sales,Sales Executive,Bachelor's,Married,2,35443.61,Yes,Good,Medium,Meets Expectations,12,No,Hybrid,Yes
100111,21,Male,Operations,Logistics Coordinator,Bachelor's,Married,11,53314.53,No,Poor,Medium,Meets Expectations,6,No,Yes,No
100112,32,Female,Finance,Financial Analyst,PhD,Single,3,53211.86,No,Excellent,Very High,Meets Expectations,33,Yes,Hybrid,No
100113,33,Male,IT,DevOps Engineer,Bachelor's,Married,4,47590.82,No,Good,Very High,Outstanding,55,No,Hybrid,No
100114,50,Male,IT,DevOps Engineer,Bachelor's,Single,2,66772.95,No,Excellent,Low,Exceeds Expectations,51,No,Hybrid,No
100115,31,Female,IT,Data Analyst,Bachelor's,Married,5,76500,Yes,Poor,Very High,Meets Expectations,52,No,Yes,Yes
100116,35,Female,IT,QA Engineer,Bachelor's,Single,5,73813.61,No,Good,Low,Meets Expectations,52,No,Hybrid,Yes
100117,32,Female,IT,Data Analyst,Master's,Single,17,112368.48,No,Good,Low,Meets Expectations,16,Yes,Yes,No
100118,24,Male,IT,Data Analyst,Bachelor's,Married,10,72274.99,Yes,Fair,High,Meets Expectations,29,No,Hybrid,Yes
100119,40,Female,Finance,Auditor,Bachelor's,Married,3,59240.76,Yes,Poor,High,Outstanding,3,No,Hybrid,Yes
100120,38,Male,Marketing,SEO Specialist,Bachelor's,Married,6,52373.87,Yes,Poor,Very High,Exceeds Expectations,54,No,Hybrid,Yes
100121,38,Female,Finance,Auditor,Bachelor's,Single,4,61428.39,Yes,Good,Medium,Meets Expectations,3,No,Yes,No
100122,26,Female,HR,Recruiter,Master's,Divorced,3,38413.59,No,Good,Medium,Meets Expectations,49,No,Yes,No
100123,42,Female,Operations,Logistics Coordinator,Bachelor's,Single,3,51183.72,No,Good,Very High,Meets Expectations,36,No,Yes,No
100124,23,Female,Finance,Auditor,Bachelor's,Single,4,65718.24,No,Excellent,High,Meets Expectations,38,No,No,No
100125,37,Male,Sales,Sales Manager,Bachelor's,Divorced,5,39839.76,Yes,Poor,Medium,Needs Improvement,,No,No,Yes
100126,48,Male,IT,System Administrator,Master's,Single,4,71170.82,No,Excellent,Very High,Meets Expectations,14,No,Yes,No
100127,26,Female,Operations,Supply Chain Analyst,Bachelor's,Single,0,39786.26,No,Good,Medium,Exceeds Expectations,21,No,Hybrid,No
100128,29,Male,HR,Recruiter,PhD,Divorced,4,51552.13,No,Good,High,Meets Expectations,10,Yes,Yes,No
100129,33,Male,Sales,Sales Executive,Bachelor's,Divorced,5,39110.14,Yes,Fair,High,Meets Expectations,35,No,Yes,Yes
100130,29,Female,IT,Data Analyst,Bachelor's,Married,9,96558.38,No,Good,Medium,Meets Expectations,60,No,Yes,No
100131,22,Male,Operations,Logistics Coordinator,Master's,Single,2,46341.79,No,Good,Medium,Exceeds Expectations,31,No,Hybrid,Yes
100132,33,Female,IT,DevOps Engineer,Bachelor's,Single,7,60295.63,No,Good,High,Meets Expectations,18,No,No,No
100133,25,Female,IT,Software Engineer,Bachelor's,Single,15,90569.81,No,Excellent,Medium,Outstanding,15,Yes,No,No
100134,36,Female,Operations,Operations Executive,Bachelor's,Single,3,41108.17,Yes,Poor,High,Meets Expectations,9,No,Hybrid,Yes
100135,26,Male,Sales,Sales Executive,Bachelor's,Single,5,43128.41,No,Good,Medium,Meets Expectations,42,No,Yes,No
100136,43,Female,Finance,Accountant,Bachelor's,Single,13,66433.15,Yes,Poor,Medium,Exceeds Expectations,16,No,Hybrid,Yes
100137,27,Male,HR,HR Manager,Bachelor's,Single,5,48074.92,No,Good,Medium,Meets Expectations,42,No,Yes,No
100138,30,Male,Sales,Sales Executive,Bachelor's,Single,2,48910.22,No,Excellent,Medium,Meets Expectations,42,Yes,No,No
100139,38,Female,Sales,Account Executive,Bachelor's,Married,4,51581.17,No,Good,Medium,Meets Expectations,55,Yes,Hybrid,No
100140,24,Female,IT,DevOps Engineer,Master's,Single,13,87823.8,Yes,Poor,High,Meets Expectations,58,No,Yes,Yes
100141,34,Female,IT,System Administrator,Bachelor's,Married,14,98226.41,No,Good,Medium,Exceeds Expectations,5,No,Hybrid,No
100142,42,Female,Operations,Operations Executive,Bachelor's,Single,9,57466.85,No,Good,Very High,Meets Expectations,47,No,Hybrid,No
100143,21,Female,Sales,Sales Manager,Bachelor's,Single,7,46442.89,Yes,Fair,Medium,Exceeds Expectations,44,No,Hybrid,Yes
100144,34,Female,IT,DevOps Engineer,Bachelor's,Single,4,79476.03,No,Excellent,High,Exceeds Expectations,57,No,Hybrid,No
100145,34,Female,IT,System Administrator,Bachelor's,Single,4,76782.13,No,Good,High,Meets Expectations,50,No,Yes,No
100146,38,Female,Sales,Sales Manager,Master's,Single,2,58967.46,No,Excellent,Medium,Needs Improvement,32,No,Hybrid,No
100147,24,Female,Sales,Account Executive,Master's,Married,2,55225.71,Yes,Poor,Very High,Outstanding,19,No,No,Yes
100148,23,Female,Finance,Financial Analyst,Bachelor's,Single,8,56608.33,No,Poor,Low,Meets Expectations,13,No,Hybrid,Yes
100149,36,Male,Sales,Account Executive,Bachelor's,Divorced,4,57600.76,No,Good,Medium,Meets Expectations,42,No,Yes,No
100150,35,Male,IT,Software Engineer,Bachelor's,Married,7,57265.71,No,Excellent,Low,Meets Expectations,27,Yes,Yes,No
100151,34,Female,Sales,Account Executive,PhD,Single,1,63885.51,No,Good,High,Outstanding,51,No,Yes,Yes
100152,35,Female,HR,HR Manager,Bachelor's,Single,3,43417.33,Yes,Poor,Low,Meets Expectations,59,Yes,No,Yes
100153,28,Female,IT,Software Engineer,Bachelor's,Married,1,59266.94,No,Fair,Medium,Exceeds Expectations,39,No,Hybrid,No
100154,34,Female,Finance,Auditor,Bachelor's,Married,12,77179.9,Yes,Poor,High,Exceeds Expectations,5,No,Yes,Yes
100155,35,Female,Sales,Account Executive,Bachelor's,Married,8,67219.18,No,Excellent,Very High,Outstanding,18,No,Yes,No
100156,27,Male,Finance,Financial Analyst,Bachelor's,Married,5,42054.33,No,Good,Very High,Meets Expectations,52,Yes,Yes,No
100157,46,Male,IT,QA Engineer,Master's,Single,11,90370.34,No,Fair,Very High,Meets Expectations,42,No,No,No
100158,36,Female,HR,HR Executive,Bachelor's,Single,2,41593.68,No,Excellent,High,Meets Expectations,5,No,Yes,No
100159,24,Male,Finance,Financial Analyst,Bachelor's,Married,11,73952.39,No,Good,Low,Meets Expectations,42,No,Hybrid,Yes
100160,37,Female,Operations,Supply Chain Analyst,Bachelor's,Single,0,42932.65,No,Fair,Medium,Meets Expectations,4,No,Hybrid,No
100161,26,Female,IT,Data Analyst,Bachelor's,Single,6,64545.07,No,Poor,Very High,Meets Expectations,1,No,Hybrid,No
100162,38,Female,Finance,Financial Analyst,Bachelor's,Married,1,55198.83,Yes,Fair,Very High,Meets Expectations,47,No,Hybrid,No
100163,41,Female,Operations,Operations Executive,Master's,Single,6,48946.01,No,Good,High,Meets Expectations,5,No,Hybrid,No
100164,27,Female,Sales,Account Executive,Bachelor's,Single,4,39742.55,No,Good,Very High,Exceeds Expectations,13,Yes,Yes,No
100165,39,Female,Sales,Account Executive,Bachelor's,Married,4,49498.37,Yes,Fair,High,Needs Improvement,13,No,Hybrid,Yes
100166,35,Female,Finance,Financial Analyst,Master's,Single,11,75182.17,No,Good,Very High,Exceeds Expectations,29,No,Hybrid,No
100167,38,Female,IT,System Administrator,Bachelor's,Married,11,86580.36,No,Good,Very High,Meets Expectations,44,Yes,Hybrid,No
100168,46,Male,Finance,Accountant,Bachelor's,Married,10,55175.22,No,Excellent,Medium,Meets Expectations,39,No,Hybrid,No
100169,31,Male,IT,System Administrator,Bachelor's,Single,13,99750.45,No,Good,Medium,Meets Expectations,23,No,Hybrid,No
100170,27,Female,IT,Software Engineer,Master's,Single,5,58855.3,Yes,Fair,Medium,Outstanding,29,No,Hybrid,No
100171,26,Female,Finance,Auditor,Bachelor's,Married,5,66798.27,Yes,Fair,Medium,Meets Expectations,10,No,Hybrid,No
100172,27,Female,IT,QA Engineer,Bachelor's,Single,4,65636.53,Yes,Fair,Medium,Outstanding,13,No,Hybrid,Yes
100173,32,Male,Marketing,SEO Specialist,Bachelor's,Single,5,43660.75,No,Good,High,Exceeds Expectations,21,No,Yes,No
100174,35,Female,Operations,Logistics Coordinator,Bachelor's,Divorced,17,61230.77,Yes,Fair,High,Exceeds Expectations,2,No,Yes,Yes
100175,34,Female,Finance,Auditor,Master's,Married,7,61238.8,No,Good,High,Meets Expectations,28,Yes,Hybrid,No
100176,38,Female,Operations,Operations Executive,Bachelor's,Single,3,49083.82,No,Excellent,Very High,Meets Expectations,47,No,Hybrid,No
100177,33,Female,HR,HR Executive,Master's,Single,1,46384.72,No,Good,Low,Meets Expectations,45,No,Yes,Yes
100178,43,Female,IT,QA Engineer,Bachelor's,Divorced,1,72232.57,No,Good,Medium,Exceeds Expectations,7,Yes,Hybrid,No
100179,31,Male,Operations,Operations Executive,Bachelor's,Married,2,33473.3,No,Good,High,Outstanding,48,No,No,Yes
100180,50,Male,IT,System Administrator,Master's,Single,5,81024.56,Yes,Fair,Very High,Meets Expectations,6,No,No,Yes
100181,37,Female,Sales,Account Executive,Bachelor's,Married,2,55936.42,No,Poor,Very High,Meets Expectations,23,No,Yes,Yes
100182,26,Female,Sales,Sales Executive,Bachelor's,Single,6,63679.89,Yes,Fair,Medium,Meets Expectations,4,No,Hybrid,Yes
100183,25,Female,Finance,Auditor,Bachelor's,SINGLE,2,40117.49,No,Fair,Low,Meets Expectations,19,No,No,Yes
100184,36,Female,IT,QA Engineer,Bachelor's,Single,5,61693.41,Yes,Excellent,Very High,Meets Expectations,4,No,Hybrid,No
100185,31,Male,IT,DevOps Engineer,Bachelor's,Single,2,43303.3,No,Good,Low,Meets Expectations,48,No,Hybrid,Yes
100186,37,Female,Finance,Accountant,Master's,Married,2,57084.81,No,Good,High,Meets Expectations,5,No,Yes,No
100187,36,Female,Sales,Sales Executive,Master's,Single,5,44540.86,Yes,Poor,Medium,Exceeds Expectations,27,Yes,Yes,Yes
100188,32,Female,Operations,Supply Chain Analyst,Master's,Married,3,43872.8,Yes,Good,Medium,Exceeds Expectations,14,No,No,No
100189,27,Male,Finance,Financial Analyst,PhD,Single,8,60650.52,Yes,Poor,Medium,Exceeds Expectations,58,No,Hybrid,Yes
100190,22,Male,IT,Data Analyst,Bachelor's,Single,8,87039.34,No,Good,Medium,Exceeds Expectations,25,No,No,No
100191,29,Female,IT,Software Engineer,Bachelor's,Single,5,82594.83,No,Good,Medium,Meets Expectations,52,No,No,No
100192,38,Female,Finance,Accountant,Bachelor's,Single,10,76695.61,Yes,Poor,Very High,Outstanding,44,No,Yes,Yes
100193,34,Female,Sales,Account Executive,Master's,Single,2,43375.23,Yes,Excellent,High,Exceeds Expectations,20,No,No,Yes
100194,24,Male,IT,Software Engineer,Bachelor's,Single,2,57473.65,No,Good,Very High,Outstanding,20,Yes,Hybrid,No
100195,34,Female,IT,Software Engineer,Bachelor's,Married,1,71147.3,No,Excellent,High,Meets Expectations,8,No,Hybrid,No
100196,35,Female,IT,DevOps Engineer,Bachelor's,Married,6,82123.8,No,Excellent,Medium,Meets Expectations,46,No,Hybrid,No
100197,26,Female,IT,Software Engineer,Bachelor's,Married,1,66414.99,No,Poor,High,Meets Expectations,43,Yes,Hybrid,No
100198,34,Male,Sales,Account Executive,Bachelor's,Married,3,47345.98,No,Good,Very High,Meets Expectations,40,No,Hybrid,No
100199,33,Female,Operations,Operations Executive,Bachelor's,Married,3,35573.6,Yes,Good,Very High,Meets Expectations,55,No,No,No
100200,24,Female,Sales,Sales Executive,Master's,Single,1,36902.26,No,Good,Very High,Meets Expectations,9,No,Hybrid,No
100201,35,Female,Operations,Logistics Coordinator,Bachelor's,Divorced,4,45067.93,Yes,Fair,High,Meets Expectations,47,Yes,No,No
100202,36,Male,IT,DevOps Engineer,PhD,Single,3,73131.28,No,Good,High,Meets Expectations,24,No,Hybrid,No
100203,40,Male,Sales,Account Executive,Bachelor's,Married,4,39102.19,No,Excellent,Medium,Meets Expectations,20,No,No,No
100204,40,Male,Finance,Accountant,Master's,Married,5,59456.35,No,Fair,Medium,Meets Expectations,33,No,Hybrid,No
100205,23,Female,Finance,Financial Analyst,Bachelor's,Single,3,40572.35,Yes,Good,Low,Meets Expectations,30,Yes,Hybrid,Yes
100206,26,Female,Finance,Auditor,Master's,Divorced,7,78514.24,No,Good,High,Meets Expectations,1,No,Hybrid,No
100207,36,Male,Finance,Auditor,Bachelor's,Single,2,59553.35,No,Good,High,Meets Expectations,41,No,Hybrid,No
100208,36,Female,Finance,Financial Analyst,Bachelor's,Single,12,68991.74,No,Good,High,Meets Expectations,39,No,Yes,No
100209,36,Male,IT,Data Analyst,Master's,Single,4,84876.64,No,Excellent,Very High,Exceeds Expectations,15,Yes,Hybrid,No
100210,50,Male,Finance,Auditor,Bachelor's,Single,10,72722.91,No,Fair,Medium,Meets Expectations,34,No,Hybrid,No
100211,36,Female,Finance,Auditor,Bachelor's,Married,6,65533.55,No,Good,Medium,Exceeds Expectations,48,No,No,No
100212,40,Female,Marketing,SEO Specialist,Bachelor's,Single,7,41986.63,No,Good,Low,Meets Expectations,49,No,No,Yes
100213,39,Male,Finance,Accountant,Bachelor's,Married,0,51666.57,No,Good,High,Meets Expectations,30,No,Yes,No
